Filename,Center_X,Center_Y,Width,Height
date_1-5-2024_10.0.11_1.png,414,196,5,5
date_1-5-2024_13.0.11_1.png,413,192,5,5
date_1-5-2024_15.0.11_1.png,414,191,5,5
date_13-5-2024_13.58.39_1.png,297,206,5,5
date_13-5-2024_15.0.11_1.png,310,196,5,5
date_2-5-2024_10.0.10_1.png,415,195,5,5
date_2-5-2024_13.0.10_1.png,415,199,5,5
date_2-5-2024_15.0.11_1.png,415,195,5,5
date_30-4-2024_15.0.11_1.png,412,196,5,5
date_6-6-2024_10.0.11_1.png,314,195,5,5
date_6-6-2024_13.0.10_1.png,316,195,5,5
date_6-6-2024_15.0.11_1.png,319,203,5,5
date_9-5-2024_16.51.40_1.png,472,235,5,5
